application_number	drug_name_brand	drug_name_generic	url	indication	raw_biomarkers	involves_categorical_variants	categorical_variants
208434	Alecensa	alectinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf	ALECENSA is a kinase inhibitor indicated for the treatment of adult patients with ALK-positive metastatic NSCLC as detected by an FDA-approved test.	ALK-positive	TRUE	v::ALK
212526	Piqray	alpelisib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212526s009lbl.pdf	"PIQRAY is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CA-mutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen."	"HR+, HER2-negative, PIK3CA-mutated"	TRUE	PIK3CA variants
761210	Rybrevant	amivantamab-vmjw	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761210s004lbl.pdf	"RYBREVANT is a bispecific EGF receptor-directed and MET receptor-directed antibody indicated in combination with carboplatin and pemetrexed for the first-line treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations, as detected by an FDA-approved test."	EGFR exon 20 insertion mutations	TRUE	EGFR exon 20 insertion variants
761210	Rybrevant	amivantamab-vmjw	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761210s004lbl.pdf	"RYBREVANT is a bispecific EGF receptor-directed and MET receptor-directed antibody indicated as a single agent for the treatment of adult patients with locally advanced or metastatic NSCLC with EGFR exon 20 insertion mutations, as detected by an FDA-approved test, whose disease has progressed on or after platinum-based chemotherapy."	EGFR exon 20 insertion mutations	TRUE	EGFR exon 20 insertion variants
21248	Trisenox	arsenic trioxide	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021248s019lbl.pdf	TRISENOX is an arsenical indicated in combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.	t(15;17) translocation or PML/RAR-alpha gene expression	FALSE	
21248	Trisenox	arsenic trioxide	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021248s019lbl.pdf	"TRISENOX is an arsenical indicated for induction of remission and consolidation in patients with APL who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression."	t(15;17) translocation or PML/RAR-alpha gene expression	FALSE	
215358	Scemblix	asciminib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215358Orig1s008lbl.pdf	SCEMBLIX is a kinase inhibitor indicated for the treatment of adult patients with previously treated philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP).	philadelphia chromosome-positive	FALSE	
215358	Scemblix	asciminib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215358Orig1s008lbl.pdf	SCEMBLIX is a kinase inhibitor indicated for the treatment of adult patients with Ph+ CML in CP with the T315I mutation.	philadelphia chromosome-positive with the T315I mutation	FALSE	
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	"TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with Stage II to IIIA NSCLC whose tumors have PD-L1 expression on >= 1% of tumor cells, as determined by an FDA-approved test."	PD-L1 expression on >= 1% of tumor cells	FALSE	
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	"TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated for the first-line treatment of adult patients with metastatic NSCLC whose tumors have high PD-L1 expression (PD-L1 stained >= 50% of tumor cells [TC >= 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering >= 10% of the tumor area [IC >= 10%] ), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations."	PD-L1 stained >= 50% of tumor cells [TC >= 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering >= 10% of the tumor area [IC >= 10%])	FALSE	
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	"TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated in combination with bevacizumab, paclitaxel, and carboplatin, for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations."	no EGFR or ALK genomic tumor aberrations	FALSE	
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated in combination with paclitaxel protein-bound and carboplatin for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.	no EGFR or ALK genomic tumor aberrations	FALSE	
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.	EGFR or ALK genomic tumor aberrations	TRUE	EGFR variants; ALK variants
761034	Tecentriq	atezolizumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf	TECENTRIQ is a programmed death-ligand 1 (PD-L1) blocking antibody indicated in combination with cobimetinib and vemurafenib for the treatment of adult patients with BRAF V600 mutation-positive unresectable or metastatic melanoma.	BRAF V600	TRUE	BRAF V600
212608	Ayvakit	avapritinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212608s013lbl.pdf	"AYVAKIT is a kinase inhibitor indicated for the treatment of adults with unresectable or metastatic GIST harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations."	"PDGFRA exon 18 mutation, including PDGFRA D842V"	TRUE	PDGFRA exon 18 variants
210498	Mektovi	binimetinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf	"MEKTOVI is a kinase inhibitor indicated in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test."	BRAF V600E or V600K	FALSE	
210498	Mektovi	binimetinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf	"MEKTOVI is a kinase inhibitor indicated in combination with encorafenib, for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with a BRAF V600E mutation, as detected by an FDA-approved test."	BRAF V600E	FALSE	
125557	Blincyto	blinatumomab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf	BLINCYTO is a bispecific CD19-directed CD3 T-cell engager indicated for the treatment of adult and pediatric patients one month and older with CD19-positive B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1%.	CD19-positive	FALSE	
125557	Blincyto	blinatumomab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf	BLINCYTO is a bispecific CD19-directed CD3 T-cell engager indicated for the treatment of adult and pediatric patients one month and older with relapsed or refractory CD19-positive B-cell precursor acute lymphoblastic leukemia (ALL).	CD19-positive	FALSE	
125557	Blincyto	blinatumomab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf	BLINCYTO is a bispecific CD19-directed CD3 T-cell engager indicated for the treatment of adult and pediatric patients one month and older with CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia (ALL) in the consolidation phase of multiphase chemotherapy.	CD19-positive philadelphia chromosome-negative	FALSE	
203341	Bosulif	bosutinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf	"BOSULIF is a kinase inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with chronic phase Ph+ chronic myelogenous leukemia (CML), newly-diagnosed or resistant or intolerant to prior therapy."	philadelphia chromosome-positive	FALSE	
203341	Bosulif	bosutinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf	"BOSULIF is a kinase inhibitor indicated for the treatment of adult patients with accelerated, or blast phase Ph+ CML with resistance or intolerance to prior therapy."	philadelphia chromosome-positive	FALSE	
125388	Adcetris	brentuximab vedotin	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf	"ADCETRIS is a CD30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with previously untreated systemic anaplastic large cell lymphoma (sALCL) or other CD30-expressing peripheral T-cell lymphomas (PTCL), including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone."	CD30-expressing	FALSE	
125388	Adcetris	brentuximab vedotin	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf	ADCETRIS is a CD30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with primary cutaneous anaplastic large cell lymphoma (pcALCL) or CD30-expressing mycosis fungoides (MF) who have received prior systemic therapy.	CD30-expressing	FALSE	
208772	Alunbrig	brigatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208772s013lbl.pdf	ALUNBRIG is a kinase inhibitor indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.	ALK-positive	TRUE	v::ALK
20896	Xeloda	capecitabine	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s045s046s047s048s049s050s051lbl.pdf	XELODA (capecitabine) is a nucleoside metabolic inhibitor indicated for treatment of adults with HER2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease as a component of a combination regimen.	HER2-overexpressing	FALSE	
218197	Truqap	capivasertib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf	"TRUQAP is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, locally advanced or metastatic breast cancer with one or more PIK3CA/AKT1/PTEN-alterations as detected by an FDA-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy."	"HR+, HER2-negative with one or more PIK3CA/AKT1/PTEN-alterations"	TRUE	PIK3CA variants; AKT1 variants; PTEN variants
213591	Tabrecta	capmatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/213591s011lbl.pdf	TABRECTA is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test.	MET exon 14 skipping	TRUE	MET exon 14 skipping variants
761097	Libtayo	cemiplimab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761097s023lbl.pdf	"LIBTAYO is a programmed death receptor-1 (PD-1) blocking antibody indicated in combination with platinum-based chemotherapy for the first-line treatment of adult patients with non-small cell lung cancer (NSCLC) with no EGFR, ALK or ROS1 aberrations and is: (i) locally advanced where patients are not candidates for surgical resection or definitive chemoradiation or (ii) metastatic."	"no EGFR, ALK or ROS1 aberrations"	FALSE	
761097	Libtayo	cemiplimab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761097s023lbl.pdf	"LIBTAYO is a programmed death receptor-1 (PD-1) blocking antibody indicated as single agent for the first-line treatment of adult patients with NSCLC whose tumors have high PD-L1 expression [Tumor Proportion Score (TPS) >= 50%] as determined by an FDA-approved test, with no EGFR, ALK or ROS1 aberrations, and is: (i) locally advanced where patients are not candidates for surgical resection or definitive chemoradiation or (ii) metastatic."	"high PD-L1 expression [Tumor Proportion Score (TPS) >= 50%] with no EGFR, ALK or ROS1 aberrations"	FALSE	
211225	Zykadia	ceritinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/211225s004lbl.pdf	ZYKADIA is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.	ALK-positive	TRUE	v::ALK
125084	Erbitux	cetuximab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125084s279lbl.pdf	"ERBITUX is an epidermal growth factor receptor (EGFR) antagonist indicated for treatment of K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with FOLFIRI for first-line treatment."	"K-Ras wild type, EGFR-expressing"	FALSE	
125084	Erbitux	cetuximab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125084s279lbl.pdf	"ERBITUX is an epidermal growth factor receptor (EGFR) antagonist indicated for treatment of K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy."	"K-Ras wild-type, EGFR-expressing"	FALSE	
125084	Erbitux	cetuximab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125084s279lbl.pdf	"ERBITUX is an epidermal growth factor receptor (EGFR) antagonist indicated for treatment of K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test as a single-agent in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan."	"K-Ras wild type, EGFR-expressing"	FALSE	
125084	Erbitux	cetuximab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125084s279lbl.pdf	"ERBITUX is an epidermal growth factor receptor (EGFR) antagonist indicated for treatment of in combination with encorafenib, for the treatment of adult patients with metastatic colorectal cancer (CRC) with a BRAF V600E mutation, as detected by an FDA-approved test, after prior therapy."	BRAF V600E	FALSE	
206192	Cotellic	cobimetinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206192s006lbl.pdf	"COTELLIC is a kinase inhibitor indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, in combination with vemurafenib."	BRAF V600E or V600K	FALSE	
202570	Xalkori	crizotinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202570s036lbl.pdf	XALKORI is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK) or ROS1-positive as detected by an FDA-approved test.	ALK or ROS1-positive	TRUE	v::ALK
202570	Xalkori	crizotinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202570s036lbl.pdf	"XALKORI is a kinase inhibitor indicated for the treatment of pediatric patients 1 year of age and older and young adults with relapsed or refractory, systemic anaplastic large cell lymphoma (ALCL) that is ALK-positive. Limitations of Use: The safety and efficacy of XALKORI have not been established in older adults with relapsed or refractory, systemic ALK-positive ALCL."	ALK-positive	TRUE	v::ALK; v::ROS1
202570	Xalkori	crizotinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202570s036lbl.pdf	"XALKORI is a kinase inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with unresectable, recurrent, or refractory inflammatory myofibroblastic tumor (IMT) that is ALK-positive."	ALK-positive	TRUE	v::ALK; v::ROS1
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	TAFINLAR is a kinase inhibitor indicated as a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test.	BRAF V600E	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test."	BRAF V600E or BRAF V600K	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test, and involvement of lymph node(s), following complete resection."	BRAF V600E or BRAF V600K	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation as detected by an FDA-approved test."	BRAF V600E	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options."	BRAF V600E	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the treatment of adult and pediatric patients 1 year of age and older with unresectable or metastatic solid tumors with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options. This indication is approved under accelerated approval based on overall response rate (ORR) and duration of response (DoR). Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s)."	BRAF V600E	FALSE	
202806	Tafinlar	dabrafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202806s030lbl.pdf	"TAFINLAR is indicated, in combination with trametinib, for the treatment of pediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy."	BRAF V600E	FALSE	
211288	Vizimpro	dacomitinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211288s003lbl.pdf	VIZIMPRO is a kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as detected by an FDA-approved test.	EGFR exon 19 deletion or exon 21 L858R substitution mutations	TRUE	EGFR exon 19 deletion variants
21986	Sprycel	dasatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021986s027lbl.pdf	SPRYCEL is a kinase inhibitor indicated for the treatment of newly diagnosed adults with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase.	philadelphia chromosome-positive (Ph+)	FALSE	
21986	Sprycel	dasatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021986s027lbl.pdf	"SPRYCEL is a kinase inhibitor indicated for the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib."	philadelphia chromosome-positive	FALSE	
21986	Sprycel	dasatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021986s027lbl.pdf	SPRYCEL is a kinase inhibitor indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy.	philadelphia chromosome-positive	FALSE	
21986	Sprycel	dasatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021986s027lbl.pdf	SPRYCEL is a kinase inhibitor indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase.	philadelphia chromosome-positive (Ph+)	FALSE	
21986	Sprycel	dasatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021986s027lbl.pdf	SPRYCEL is a kinase inhibitor indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.	philadelphia chromosome-positive (Ph+)	FALSE	
761174	Jemperli	dostarlimab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761174s010lbl.pdf	"JEMPERLI is a programmed death receptor-1 (PD-1)-blocking antibody indicated in combination with carboplatin and paclitaxel, followed by JEMPERLI as a single agent for the treatment of adult patients with primary advanced or recurrent endometrial cancer that is mismatch repair deficient (dMMR), as determined by an FDA-approved test, or microstallite instability-high (MSI-H)."	mismatch repair deficient (dMMR) or microsatellite instability-high (MSI-H)	FALSE	
761174	Jemperli	dostarlimab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761174s010lbl.pdf	"JEMPERLI is a programmed death receptor-1 (PD-1)-blocking antibody indicated as a single agent for the treatment of adult patients with dMMR recurrent or advanced endometrial cancer, as determined by an FDA-approved test, that has progressed on or following prior treatment with a platinum-containing regimen in any setting and are not candidates for curative surgery or radiation."	dMMR	FALSE	
761174	Jemperli	dostarlimab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761174s010lbl.pdf	"JEMPERLI is a programmed death receptor-1 (PD-1)-blocking antibody indicated as a single agent for the treatment of adult patients with dMMR recurrent or advanced solid tumors, as determined by an FDA-approved test, that have progressed on or following prior treatment and who have no satisfactory alternative treatment options. This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s)."	dMMR	FALSE	
761069	Imfinzi	durvalumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761069s043lbledt.pdf	"IMFINZI is a programmed death-ligand 1 (PD-L1) blocking antibody indicated in combination with tremelimumab-actl and platinum-based chemotherapy, for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with no sensitizing epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) genomic aberrations."	no sensitizing EGFR mutations or ALK genomic aberrations	FALSE	
761069	Imfinzi	durvalumab	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761069s043lbledt.pdf	"IMFINZI is a programmed death-ligand 1 (PD-L1) blocking antibody indicated in combination with carboplatin and paclitaxel followed by IMFINZI as a single agent, for the treatment of adult patients with primary advanced or recurrent endometrial cancer that is mismatch repair deficient (dMMR)."	mismatch repair deficient (dMMR)	FALSE	
217639	Orserdu	elacestrant	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217639Orig1s001lbl.pdf	"ORSERDU is an estrogen receptor antagonist indicated for treatment of postmenopausal women or adult men, with ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy."	"ER-positive, HER2-negative, ESR1-mutated"	FALSE	
209606	Idhifa	enasidenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209606s006lbl.pdf	IDHIFA is an isocitrate dehydrogenase-2 inhibitor indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with an isocitrate dehydrogenase-2 (IDH2) mutation as detected by an FDA-approved test.	IDH2 mutation	TRUE	IDH2 variants
210496	Braftovi	encorafenib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210496s017lbl.pdf	"BRAFTOVI is a kinase inhibitor indicated in combination with binimetinib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test. BRAFTOVI is not indicated for treatment of patients with wild-type BRAF melanoma, wild-type BRAF CRC, or wild-type BRAF NSCLC."	BRAF V600E or BRAF V600K	FALSE	
